40748,9926,-1
35757,79,10
18266,51,-1
31006,8795,7
68084,14837,8
20881,1536,9
25996,1241,8
25409,8668,7
29728,6325,5
71886,1887,9
58916,258,10
46130,11179,-1
73091,7791,-1
52856,27989,10
7345,1654,7
42432,12049,4
46414,2924,5
19665,121,7
18419,6956,7
66816,13125,10
25355,318,9
61355,5526,-1
45003,376,8
45871,3140,6
37312,28121,9
57541,20507,8
67409,5680,7
242,44,6
32545,25397,7
670,28617,7
25334,11241,-1
50242,899,7
70120,21881,7
28601,6045,10
22273,573,10
4657,28825,-1
5266,4382,9
31874,4970,9
62125,33161,9
45004,339,8
29973,3712,8
34331,5630,9
15778,3594,9
61407,6634,7
25894,10155,8
16390,2993,10
44731,16782,10
59920,10536,-1
50043,13535,8
7670,34103,7
28812,11319,7
28739,513,-1
23258,20583,6
22272,457,10
27140,384,10
30149,4224,8
68287,1686,7
36540,12711,8
60272,889,-1
32615,9922,10
68184,885,8
40462,6205,6
49941,1609,5
27808,6547,9
38660,13221,6
40168,20931,-1
43215,132,-1
53310,2923,7
10637,3652,-1
15269,6213,8
28507,6213,4
17905,18115,-1
6056,306,8
49408,22865,10
24960,65,9
34817,4182,7
38704,30187,8
34837,511,8
24310,9731,10
60861,3731,8
8820,25429,9
72970,1674,7
39793,1195,6
48766,21031,-1
19972,30524,6
14097,32182,8
45605,906,-1
12601,10249,9
68620,8918,-1
56680,2167,10
46773,1050,9
52420,437,10
56657,6201,10
15342,1639,7
68770,9712,5
16282,957,-1
71122,31798,8
26313,12679,-1
53001,732,7
33631,21681,9
68199,779,-1
25126,28619,-1
34186,317,6
40318,3972,2
40281,6573,-1
35688,12403,8
22342,17535,-1
4468,11013,8
47770,732,10
68787,1407,-1
49457,11843,7
55137,237,9
57828,7593,-1
37648,23317,10
10318,1292,10
59624,857,10
66258,468,-1
46236,323,-1
26338,13367,9
47250,15583,6
26511,30385,6
48350,6211,6
62428,29027,7
44587,237,8
53222,5764,-1
9055,1299,8
70513,27899,7
7961,97,-1
1473,6351,9
69931,21405,9
61635,467,-1
47195,7791,10
49305,2404,9
50521,260,-1
3426,8097,8
21314,6347,-1
25783,13663,-1
2632,15699,8
13977,7054,9
1364,31452,-1
44136,9776,-1
31316,4177,9
60969,4874,-1
31641,1836,6
30859,31636,7
20049,6880,6
24072,21561,8
61575,177,8
38225,160,7
45261,1015,5
52321,3712,9
38377,9117,7
65208,1575,8
52017,9919,-1
48719,1861,6
23363,2800,7
72570,74,-1
51194,3782,9
27828,16498,10
22052,25099,-1
68175,150,10
32819,25013,9
5341,2944,-1
40092,2386,8
37567,10620,9
11137,31859,7
59518,11759,8
31874,10793,10
21062,26349,-1
70752,6922,8
23190,22125,-1
57703,199,8
8636,11759,10
13773,3457,7
73160,28927,7
12659,4744,8
48621,23587,6
29824,14173,7
59516,7322,5
20931,3467,-1
28195,68,-1
30068,487,8
26772,9958,-1
67694,524,-1
3268,8074,-1
55813,4361,-1
32899,1847,7
22521,11597,8
70824,9790,9
20037,10087,9
63121,23755,8
25738,25681,8
29490,28171,10
69844,1230,7
49206,5162,-1
31088,26349,-1
49094,1371,8
39558,14749,7
32467,12403,-1
49488,2398,8
56701,12115,10
53311,7791,-1
64854,30251,6
23407,6112,9
58675,1254,-1
59547,3604,-1
44953,73,10
36768,27821,9
40456,2107,-1
24433,512,10
58619,9014,-1
36601,6880,6
15773,22199,6
744,167,6
24265,47,-1
7707,3712,10
73443,12355,8
4316,5702,7
5204,28805,7
68762,5530,8
41392,456,7
9183,11123,10
2015,8769,9
25891,3784,8
54886,1535,9
5482,5030,-1
13035,61,9
36904,1519,-1
12125,13807,8
36414,8074,7
4511,5504,8
44244,13161,7
19140,523,7
58469,268,8
10456,834,7
1842,23079,5
13418,4901,10
2474,2006,7
3907,9347,2
29540,4550,-1
35080,10361,6
4921,210,10
39207,186,7
28976,532,7
59384,2167,9
8404,3572,5
24869,5032,9
73251,6500,7
25990,189,9
21367,182,8
63691,6547,-1
17160,10460,8
16942,653,-1
34497,1519,10
10684,17549,-1
18292,14713,10
446,268,9
13408,14741,8
25987,417,7
18708,9656,8
55367,14289,7
21152,4970,-1
18599,1943,9
19889,30240,5
51434,487,-1
50769,205,8
19593,732,8
45665,133,-1
52018,6024,5
14164,11887,7
22477,21033,7
4043,11827,6
7259,467,8
36523,9014,3
37790,18507,8
28001,5667,5
50388,232,8
2004,457,9
15110,5114,10
28782,11061,9
2336,9289,-1
1438,6956,7
54282,1237,-1
1935,28171,-1
44206,10611,9
68433,2923,8
48766,5909,-1
47636,1533,8
59946,223,8
63519,9656,8
23998,1726,7
11867,3467,8
45712,23673,7
54732,478,6
58527,264,9
38829,15809,5
43952,6033,7
49322,2418,9
5993,356,8
44253,376,5
53241,230,-1
46345,1535,9
61388,5178,7
